Date,Dead,Injured,Location,City,State
10/17/2015,0,4,"Elkhart, IN",Elkhart, IN
10/17/2015,1,4,"Fort Meyers, FL",Fort Meyers, FL
10/18/2015,0,4,"New Orleans, LA",New Orleans, LA
10/19/2015,0,7,"Calumet City, IL",Calumet City, IL
10/23/2015,1,3,"Nashville, TN",Nashville, TN
10/24/2015,0,4,"Bamberg, SC",Bamberg, SC
10/25/2015,0,5,"Four Oaks, NC",Four Oaks, NC
10/25/2015,2,2,"Pageland, SC",Pageland, SC
10/25/2015,1,4,"Pheonix, AZ",Pheonix, AZ
10/25/2015,0,5,"Washington, DC",Washington, DC
10/26/2015,0,5,"Evansville, IN",Evansville, IN
10/27/2015,0,5,"Fort Worth, TX",Fort Worth, TX
10/28/2015,1,3,"Houma, LA",Houma, LA
10/31/2015,4,0,"Colorado Springs, CO",Colorado Springs, CO
11/1/2015,4,0,"Pendleton, SC",Pendleton, SC
11/3/2015,2,2,"Harris County, TX",Harris County, TX
11/3/2015,1,3,"Jacksonville, FL",Jacksonville, FL
11/4/2015,4,0,"Oakland, ME",Oakland, ME
11/6/2015,0,4,"Bakersfield, CA",Bakersfield, CA
11/6/2015,1,3,"Denver, CO",Denver, CO
11/6/2015,0,4,"Tallahassee, FL",Tallahassee, FL
11/7/2015,2,2,"Waycross, GA",Waycross, GA
11/8/2015,1,3,"Des Moines, IA",Des Moines, IA
11/8/2015,0,4,"Warren, MI",Warren, MI
11/9/2015,2,2,"Indianapolis, IN",Indianapolis, IN
11/13/2015,4,1,"Jacksonville, FL",Jacksonville, FL
11/14/2015,0,5,"Johnstown, PA",Johnstown, PA
11/14/2015,3,2,"Los Angeles, CA",Los Angeles, CA
11/15/2015,6,0,"Anderson County, TX",Anderson County, TX
11/15/2015,0,4,"Philadelphia, PA",Philadelphia, PA
11/16/2015,3,1,"Round Mountain, AL",Round Mountain, AL
11/16/2015,1,5,"Youngstown, OH",Youngstown, OH
11/17/2015,4,0,"Murray, KY",Murray, KY
11/18/2015,5,0,"Fresno, CA",Fresno, CA
11/20/2015,1,3,"Pittsburgh, PA",Pittsburgh, PA
11/21/2015,1,3,"Baltimore, MD",Baltimore, MD
11/22/2015,0,4,"Brownsville, TX",Brownsville, TX
11/22/2015,0,4,"Chicago, IL",Chicago, IL
11/22/2015,0,17,"New Orleans, LA",New Orleans, LA
11/22/2015,0,5,"Newburgh, NY",Newburgh, NY
11/22/2015,0,5,"Seattle, WA",Seattle, WA
11/23/2015,4,1,"Columbus, OH",Columbus, OH
11/23/2015,1,3,"Houston, TX",Houston, TX
11/23/2015,0,5,"Minneapolis, MN",Minneapolis, MN
11/24/2015,0,4,"Conway, SC",Conway, SC
11/26/2015,1,3,"Boston, MA",Boston, MA
11/27/2015,3,9,"Colorado Springs, CO",Colorado Springs, CO
11/27/2015,2,2,"Sacramento, CA",Sacramento, CA
11/29/2015,0,5,"Kankakee, IL",Kankakee, IL
12/2/2015,at least 14,at least 14,"San Bernardino, CA",San Bernardino, CA
12/2/2015,1,3,"Savannah, GA",Savannah, GA
